Examination,Starting date,Max marks_All,Max marks_AI,English,Hindi,Maths,Science,SSt,AI,Percentage
PT1,29-04-2024,25,10,22.0,20.5,18.5,16.5,16.5,8.0,75.6
PT2,01-08-2024,25,10,17.0,20.0,16.0,17.0,19.0,10.0,73.33
Half Yearly,09-09-2024,80,50,61.5,67.5,31.0,55.0,60,35.5,66.7
PreBoard I,05-12-2024,80,50,64,61.5,60.5,44,61,43,74.2
PreBoard II,08-01-2025,80,50,,,,,,,
Board Exams,15-02-2025,80,50,,,,,,,
